metric_ik14,n_inchikey14,inchikey14s,example_smiles
TUEWQXNXQFRUTK,6,FYDOORKXBWEKQM;IWVCMVBTMGNXQD;JLGOGFIHBRJQHY;KTUXFHGUHYRDNF;OWFJMIVZYSDULZ;TUEWQXNXQFRUTK,CN(C)C1C(O)=C(C(=N)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12;CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12;CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12
MUHBBHLZPHKTTR,5,HKVWCHCBKOJRHE;JYHCQVWYCGHXGP;MUHBBHLZPHKTTR;NWXMGUDVXFXRIG;OFVLGDICTFRJMM,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12;CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12;CN(C)C1C(=O)C(=C(N)O)C(=O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12
HQDOJFNRUDBOGF,5,HQDOJFNRUDBOGF;KESXJPXRCQREDU;KIWTVJVARRPBPR;QDYQTXMOZIGCQB;XCWGCTNGDUDAMO,COC(=O)C12Oc3cc4c(c(O)c3C(=O)C1=C(O)CCC2O)C1C=CC2(C4)C(=O)c3cc(C)cc(O)c3C(O)=C2C1=O;COC(=O)C12Oc3cc4c(c(O)c3C(O)=C1C(=O)CCC2O)C1C=CC2(C4)C(=O)c3cc(C)cc(O)c3C(O)=C2C1=O;COC(=O)C12Oc3cc4c(c(O)c3C(O)=C1C(=O)CCC2O)C1C=CC2(C4)C(=O)c3cc(C)cc(O)c3C(=O)C2=C1O
MOFOKBGNNZPMIF,4,JLAHJKGDLZKPQY;KMPAOJFBQSXEAI;MOFOKBGNNZPMIF;XXKJBDTZZBQBCP,COc1c(O)c2c3c(c4c(c(O)c3c1O)C(C)(C)C(C)O4)C(C)=CC2=O;COc1c(O)c2c3c(c(C)cc(O)c3c1O)C1=C(C2=O)C(C)(C)C(C)O1;COC1=C(O)c2c(O)c3c(c4c(C)cc(O)c(c24)C1=O)OC(C)C3(C)C
RNPLSXLZRGPQCU,4,CYDMQBQPVICBEU;DHPRQBPJLMKORJ;RNPLSXLZRGPQCU;ZGIPMGGESRKDMZ,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12;CN(C)C1C(O)=C(C(=N)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12;CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12
UZYFNQCWJLIAKE,4,GSXOAOHZAIYLCY;UZYFNQCWJLIAKE;VFRROHXSMXFLSN;ZKLLSNQJRLJIGT,O=C(CO)C(O)C(O)C(O)COP(=O)(O)O;O=CC(O)C(O)C(O)C(O)COP(=O)(O)O;O=C(COP(=O)(O)O)C(O)C(O)C(O)CO
VXVNYCRICCVPTD,4,JBIWCJUYHHGXTC;SGKRLCUYIXIAHR;VXVNYCRICCVPTD;YDUGFTMNXJLIFF,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21;CC1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(O)=C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21;CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(O)=C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21
BEBLLQPTMVOKAX,3,BEBLLQPTMVOKAX;HLUCICHZHWJHLL;HNNSUZPWERIYIL,O=C1C=C2CC3(O)COc4c(ccc(O)c4O)C3=C2C=C1O;Oc1cc2c(cc1O)=C1c3ccc(O)c(O)c3OCC1(O)C=2;O=C1C=CC2=C3c4cc(O)c(O)cc4CC3(O)COC2=C1O
JQXXHWHPUNPDRT,3,FZYOVNIOYYPUPY;JQXXHWHPUNPDRT;QHOUDEZPFKDYIG,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C;COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C(=CNN2CCN(C)CC2)C(=C4O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C;COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)N=C(O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C
GUURBSNVCXUNKB,3,AVZATKWNGXCSDN;GUURBSNVCXUNKB;ZLIYAXUPOBJNFP,CC=C(C)C1C=CC2CC(C)CC(C)C2C1C(=O)C1=C(O)C(CC(C)(O)C(=O)O)NC1=O;CC=C(C)C1C=CC2CC(C)CC(C)C2C1C(O)=C1C(=O)NC(CC(C)(O)C(=O)O)C1=O;CC=C(C)C1C=CC2CC(C)CC(C)C2C1C(=O)c1c(O)[nH]c(CC(C)(O)C(=O)O)c1O
CNXVIBRFWKALQW,3,CNXVIBRFWKALQW;HMJIYCCIJYRONP;MSKAFRMBWXTPHY,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12;COC(O)=C1C(C)=NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12;COC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)C1c1cccc2nonc12
JVUFNXGALGCEOG,3,JVUFNXGALGCEOG;KQCMLQJXSIBOTE;UNCDMWKTFLUPHZ,CC(C)=CCC1=C(O)C(CC=C(C)C)(CC=C(C)C)C(=O)C(C(=O)C(C)C)=C1O;CC(C)=CCC1C(=O)C(CC=C(C)C)(CC=C(C)C)C(=O)C(C(=O)C(C)C)=C1O;CC(C)=CCC1C(=O)C(C(=O)C(C)C)C(=O)C(CC=C(C)C)(CC=C(C)C)C1=O
JEEWYTNVHFSNBZ,3,IEQUDZMRAGKBCG;JEEWYTNVHFSNBZ;QZVNQOLPLYWLHQ,COC(=O)C1=C(C)NC(C)=C(C(=O)OC2CCCN(Cc3ccccc3)C2)C1c1cccc([N+](=O)[O-])c1;COC(O)=C1C(C)=NC(C)=C(C(=O)OC2CCCN(Cc3ccccc3)C2)C1c1cccc([N+](=O)[O-])c1;COC(=O)C1=C(C)N=C(C)C(C(=O)OC2CCCN(Cc3ccccc3)C2)C1c1cccc([N+](=O)[O-])c1
