inchikey14,metric_ik14,heavy_atom_comp,tautomer_shifted
AAAAMGLVZZXVDT,AAAAMGLVZZXVDT,C18N5O1,False
AAABMNXUOFPYQK,AAABMNXUOFPYQK,C25N1O10,False
AAAIIIBNBXOKHO,AAAIIIBNBXOKHO,C16N1O7P1,False
AAAILXDLOQPKFL,AAAILXDLOQPKFL,C15N2O2S1,False
AAAJHMPMZMRLLC,AAAJHMPMZMRLLC,C18F2N2O3,False
AAALVYBICLMAMA,AAALVYBICLMAMA,C20N3O2,False
AAAQFGUYHFJNHI,AAAQFGUYHFJNHI,C22Cl1N5O2,False
AAAUDFYBEREPID,AAAUDFYBEREPID,C22N3O3,False
AAAUHBGRTHINSW,AAAUHBGRTHINSW,C16N3O2,False
AAAWDQSXYMQUPE,AAAWDQSXYMQUPE,C24N2O2,False
AAAXGYXFPABQPR,AAAXGYXFPABQPR,C14Cl1N6,False
AAAXTBFJQSTRMS,AAAXTBFJQSTRMS,C16N4O3S1,False
AABCURGNDWENOY,AABCURGNDWENOY,C17Cl1N4O1,False
AABDUEUOCIPJLV,AABDUEUOCIPJLV,C19F1N2O3,False
AABFPLCJKGQASP,AABFPLCJKGQASP,C18Cl1N3O2,False
AABFWJDLCCDJJN,AABFWJDLCCDJJN,C22N2O1,False
AABIGZKMCHNPNA,AABIGZKMCHNPNA,C12F3N3O2,False
AABILZKQMVKFHP,AABILZKQMVKFHP,C21N1O8,False
AABJLRPAAQWXLM,AABJLRPAAQWXLM,C17F1N6O1,False
AABJNFWKXIMDRJ,AABJNFWKXIMDRJ,C18N3O2,False
AABJXWJXJQMXRR,AABJXWJXJQMXRR,C13N2O3,False
AABMNASPTXSKGS,AABMNASPTXSKGS,C55O6,False
AABRLRGFSRSXTN,AABRLRGFSRSXTN,C15N5O2,False
AABSCJQGOFXKRH,AABSCJQGOFXKRH,C14Cl1N5,False
AABUFMMYCXWELZ,AABUFMMYCXWELZ,C21N4O1,False
AABUHSBGEIUSRJ,AABUHSBGEIUSRJ,C17N2O2,False
AABUKWVVUWBZCS,AABUKWVVUWBZCS,C21O3,False
AABVOMHVTYFGFT,AABVOMHVTYFGFT,C20N2O2,False
AABWCAAZXMECSN,AABWCAAZXMECSN,C14Cl1F2N3O1,False
AABWNORVZUIQIQ,AABWNORVZUIQIQ,C18N4O2,False
AABWORITCGVEGL,AABWORITCGVEGL,C14N3O2,False
AABXBKMPSPQJDN,AABXBKMPSPQJDN,C13N4O2,False
AABYYGGKCQWHRA,AABYYGGKCQWHRA,Br1C11N2O3S1,False
AABZNVLRUNYWKI,AABZNVLRUNYWKI,C15N3O4,False
AABZZWPMCAZHFC,TVFQJVMTPTYMFO,C59N14O12S5,True
AACACUZKJOMOKE,AACACUZKJOMOKE,C14F2N1O3,False
AACALCTUKJHVBY,AACALCTUKJHVBY,C15F1N2O4,False
AACALNSOMDQMRY,AACALNSOMDQMRY,C16F1N3O2S1,False
AACBUFBBHLBYAX,AACBUFBBHLBYAX,C13Cl1N5O2S1,False
AACCFWABUDTJGH,AACCFWABUDTJGH,C21N4O2,False
AACCTXYABLUXPH,AACCTXYABLUXPH,C10Cl1N2O2,False
AACFKFFOIISVSZ,AACFKFFOIISVSZ,C19N4O3,False
AACFPJSJOWQNBN,AACFPJSJOWQNBN,C12N1O3,False
AACFQVJWAMPUKJ,AACFQVJWAMPUKJ,C18N4O2,False
AACFUGBSZFWSSD,AACFUGBSZFWSSD,C20F1N2O3,False
