inchikey14,metric_ik14,n_libs,n_spectra,libs
AAAAMGLVZZXVDT,AAAAMGLVZZXVDT,1,5,enveda-180
AAABMNXUOFPYQK,AAABMNXUOFPYQK,1,5,gnps
AAAIIIBNBXOKHO,AAAIIIBNBXOKHO,1,2,gnps
AAAILXDLOQPKFL,AAAILXDLOQPKFL,1,9,enveda-180
AAAJHMPMZMRLLC,AAAJHMPMZMRLLC,1,13,enveda-180
AAALVYBICLMAMA,AAALVYBICLMAMA,1,1,drug_plus
AAAQFGUYHFJNHI,AAAQFGUYHFJNHI,2,69,pluskal_ms2;gnps
AAAUDFYBEREPID,AAAUDFYBEREPID,1,3,enveda-180
AAAUHBGRTHINSW,AAAUHBGRTHINSW,1,5,pluskal_ms2
AAAWDQSXYMQUPE,AAAWDQSXYMQUPE,1,2,enveda-180
AAAXGYXFPABQPR,AAAXGYXFPABQPR,1,4,enveda-180
AAAXTBFJQSTRMS,AAAXTBFJQSTRMS,1,3,enveda-180
AABCURGNDWENOY,AABCURGNDWENOY,1,7,enveda-180
AABDUEUOCIPJLV,AABDUEUOCIPJLV,1,7,enveda-180
AABFPLCJKGQASP,AABFPLCJKGQASP,1,11,enveda-180
AABFWJDLCCDJJN,AABFWJDLCCDJJN,2,6,pluskal_ms2;gnps
AABIGZKMCHNPNA,AABIGZKMCHNPNA,1,8,enveda-180
AABILZKQMVKFHP,AABILZKQMVKFHP,4,75,gnps;massbank;mona;riken
AABJLRPAAQWXLM,AABJLRPAAQWXLM,1,7,enveda-180
AABJNFWKXIMDRJ,AABJNFWKXIMDRJ,1,3,enveda-180
AABJXWJXJQMXRR,AABJXWJXJQMXRR,1,8,enveda-180
AABMNASPTXSKGS,AABMNASPTXSKGS,1,2,spectraverse
AABRLRGFSRSXTN,AABRLRGFSRSXTN,1,2,enveda-180
AABSCJQGOFXKRH,AABSCJQGOFXKRH,1,3,enveda-180
AABUFMMYCXWELZ,AABUFMMYCXWELZ,1,7,enveda-180
AABUHSBGEIUSRJ,AABUHSBGEIUSRJ,1,8,gnps
AABUKWVVUWBZCS,AABUKWVVUWBZCS,1,8,gnps
AABVOMHVTYFGFT,AABVOMHVTYFGFT,1,10,enveda-180
AABWCAAZXMECSN,AABWCAAZXMECSN,1,4,enveda-180
AABWNORVZUIQIQ,AABWNORVZUIQIQ,1,4,enveda-180
AABWORITCGVEGL,AABWORITCGVEGL,1,8,enveda-180
AABXBKMPSPQJDN,AABXBKMPSPQJDN,1,3,enveda-180
AABYYGGKCQWHRA,AABYYGGKCQWHRA,1,8,pluskal_ms2
AABZNVLRUNYWKI,AABZNVLRUNYWKI,1,4,enveda-180
AABZZWPMCAZHFC,TVFQJVMTPTYMFO,2,4,gnps;riken
AACACUZKJOMOKE,AACACUZKJOMOKE,1,7,enveda-180
AACALCTUKJHVBY,AACALCTUKJHVBY,1,3,enveda-180
AACALNSOMDQMRY,AACALNSOMDQMRY,1,8,pluskal_ms2
AACBUFBBHLBYAX,AACBUFBBHLBYAX,1,2,enveda-180
AACCFWABUDTJGH,AACCFWABUDTJGH,1,3,enveda-180
AACCTXYABLUXPH,AACCTXYABLUXPH,2,10,pluskal_ms2;gnps
AACFKFFOIISVSZ,AACFKFFOIISVSZ,1,2,enveda-180
AACFPJSJOWQNBN,AACFPJSJOWQNBN,1,5,pluskal_ms2
AACFQVJWAMPUKJ,AACFQVJWAMPUKJ,1,5,enveda-180
AACFUGBSZFWSSD,AACFUGBSZFWSSD,1,3,enveda-180
AACHUMVRQZBGIT,AACHUMVRQZBGIT,1,3,enveda-180
AACIZIXVCIATQH,AACIZIXVCIATQH,1,4,enveda-180
AACJEKDWEMQBCY,AACJEKDWEMQBCY,1,1,spectraverse
AACKZKZVSSIRAC,AACKZKZVSSIRAC,1,6,enveda-180
AACMEKHZKOUJSQ,AACMEKHZKOUJSQ,1,11,enveda-180
AACQMVKYTMJUOX,AACQMVKYTMJUOX,1,3,enveda-180
AACQRBFCQOPWRP,AACQRBFCQOPWRP,1,1,spectraverse
AACRIISYDAXBKY,AACRIISYDAXBKY,1,7,enveda-180
AACRPRVNADRNHN,AACRPRVNADRNHN,1,2,enveda-180
AACSHPQHMBPKFC,AACSHPQHMBPKFC,1,4,enveda-180
AACUJFVOHGRMTR,AACUJFVOHGRMTR,2,19,pluskal_ms2;gnps
AACVPYUISGWNOU,AACVPYUISGWNOU,4,7,mona;msdial;riken;gnps
AACVULYSNJAKEQ,AACVULYSNJAKEQ,1,29,massbank
AACWHNWGNNQFNJ,AACWHNWGNNQFNJ,1,8,pluskal_ms2
AACWKIZDTTWOOX,AACWKIZDTTWOOX,1,7,enveda-180
AACXJFORHWGYIN,AACXJFORHWGYIN,2,2,gnps;riken
AACXTVRFXUWRKJ,AACXTVRFXUWRKJ,1,1,gnps
AACYBGHKLHTHHO,AACYBGHKLHTHHO,1,1,gnps
AACYZNDHSVBBLA,AACYZNDHSVBBLA,1,9,enveda-180
AACZIKPLTHFHSJ,AACZIKPLTHFHSJ,1,12,enveda-180
AACZIPWLHBLMRT,AACZIPWLHBLMRT,1,11,enveda-180
AADBLVKJRWUWOL,AADBLVKJRWUWOL,1,9,enveda-180
AADCDMQTJNYOSS,AADCDMQTJNYOSS,2,8,gnps;massbank
AADDIEKLTHKJRK,AADDIEKLTHKJRK,1,5,enveda-180
AADGIVANXMJZCW,AADGIVANXMJZCW,1,3,spectraverse
AADHXUYHSFBKDN,AADHXUYHSFBKDN,1,4,enveda-180
AADIHHBQWJMHFF,AADIHHBQWJMHFF,1,6,enveda-180
AADJJXOTXXTPLM,AADJJXOTXXTPLM,1,1,enveda-180
AADKMXSIGUGEMH,AADKMXSIGUGEMH,1,5,pluskal_ms2
AADLTHQNYQJHQV,AADLTHQNYQJHQV,4,25,massbank;msdial;riken;mona
AADLZEQCMLORBL,AADLZEQCMLORBL,1,9,enveda-180
AADNEQWIZKTMBL,AADNEQWIZKTMBL,5,56,riken;mona;gnps;pluskal_ms2;msdial
AADUPMNSBDBGST,AADUPMNSBDBGST,1,8,enveda-180
AADVZSXPNRLYLV,AADVZSXPNRLYLV,4,81,riken;massbank;gnps;mona
AADXXCSMXWTSGT,AADXXCSMXWTSGT,1,3,enveda-180
AADYGFNQESRTBJ,AADYGFNQESRTBJ,1,3,enveda-180
AAEAPEZCZKSGDH,AAEAPEZCZKSGDH,1,4,enveda-180
AAEAWLCVAIUTBJ,AAEAWLCVAIUTBJ,1,13,pluskal_ms2
AAEGJRRBDAHHHB,AAEGJRRBDAHHHB,1,4,enveda-180
AAEKHIWSIVFPGD,AAEKHIWSIVFPGD,1,8,enveda-180
AAEKQOJTVFTSSA,AAEKQOJTVFTSSA,1,6,enveda-180
AAELJWZFMQRUDV,AAELJWZFMQRUDV,1,8,enveda-180
AAELKQFAZUNQPB,AAELKQFAZUNQPB,1,12,enveda-180
AAEONIBPPBPGSN,AAEONIBPPBPGSN,1,5,spectraverse
AAETXZJNXFQBFO,AAETXZJNXFQBFO,1,7,enveda-180
AAEVAJRFOCLWAW,AAEVAJRFOCLWAW,1,9,spectraverse
AAEVYOVXGOFMJO,AAEVYOVXGOFMJO,5,105,massbank;riken;mona;gnps;masaryk
AAEWQOPVHYVOBJ,AAEWQOPVHYVOBJ,1,13,enveda-180
AAEXCCHPQIATLP,AAEXCCHPQIATLP,1,4,enveda-180
AAEXJJJJCYQENT,AAEXJJJJCYQENT,1,9,enveda-180
AAEZDRKCAQWFDB,AAEZDRKCAQWFDB,1,8,pluskal_ms2
AAEZJVSSGYDTQC,AAEZJVSSGYDTQC,1,9,enveda-180
AAFFHVRNHILQIJ,AAFFHVRNHILQIJ,1,17,pluskal_ms2
AAFFMDZZSHAVCL,AAFFMDZZSHAVCL,1,6,enveda-180
AAFFPIPBQBAXGO,AAFFPIPBQBAXGO,1,3,enveda-180
AAFGIBIGPAEOCJ,AAFGIBIGPAEOCJ,1,12,enveda-180
AAFIPDZKAGTPMV,AAFIPDZKAGTPMV,1,1,enveda-180
AAFISZMMROIHDJ,AAFISZMMROIHDJ,1,8,enveda-180
AAFIXJDEFRHOQU,AAFIXJDEFRHOQU,1,2,enveda-180
AAFJCAYWCZPGGU,AAFJCAYWCZPGGU,1,3,enveda-180
AAFKBDRKIZNVOI,AAFKBDRKIZNVOI,1,5,pluskal_ms2
AAFLALGGEYRGTR,AAFLALGGEYRGTR,1,5,pluskal_ms2
AAFOHBZROUWSPX,AAFOHBZROUWSPX,1,8,enveda-180
AAFPBUWBKCMUOC,AAFPBUWBKCMUOC,1,1,spectraverse
AAFPXDKMWJRCMV,AAFPXDKMWJRCMV,1,4,enveda-180
AAFQUFFWQFQGDH,AAFQUFFWQFQGDH,3,3,mona;msdial;riken
AAFRXUCASCWQMP,AAFRXUCASCWQMP,1,10,enveda-180
AAFSKRHBWOQJCV,AAFSKRHBWOQJCV,1,4,enveda-180
AAGBOXJKKXJJQB,AAGBOXJKKXJJQB,1,4,enveda-180
AAGCATAPYOEULE,AAGCATAPYOEULE,3,3,gnps;msdial;riken
AAGDDBNPZLASRO,AAGDDBNPZLASRO,1,1,gnps
AAGFPRIRJRPWAH,AAGFPRIRJRPWAH,1,4,enveda-180
AAGFPTSOPGCENQ,AAGFPTSOPGCENQ,6,217,riken;massbank;mona;gnps;pluskal_ms2;msdial
AAGGYCZUUQZZKS,AAGGYCZUUQZZKS,1,1,gnps
AAGIJBXEGXRWQO,AAGIJBXEGXRWQO,1,4,enveda-180
AAGIXJOBWKVFKV,AAGIXJOBWKVFKV,1,8,enveda-180
AAGJRHKJTYKSPL,AAGJRHKJTYKSPL,1,2,enveda-180
AAGKJMCKQYNRDG,AAGKJMCKQYNRDG,1,7,enveda-180
AAGKMVRVWUWFTE,AAGKMVRVWUWFTE,1,11,enveda-180
AAGLDUCZZYWAHX,AAGLDUCZZYWAHX,1,8,enveda-180
AAGLFPOMKKVMEB,AAGLFPOMKKVMEB,1,1,enveda-180
AAGMHBKOKZOHAM,AAGMHBKOKZOHAM,1,10,enveda-180
AAGMPIFQXCZSHW,AAGMPIFQXCZSHW,1,2,enveda-180
AAGPAINRECHCNA,AAGPAINRECHCNA,1,3,gnps
AAGPNDWMPDOGJA,AAGPNDWMPDOGJA,1,9,enveda-180
AAGRIODSHVGXTR,AAGRIODSHVGXTR,1,8,enveda-180
AAGSLGPWTNOJDN,AAGSLGPWTNOJDN,1,4,enveda-180
AAGUJWXMWIWDIQ,AAGUJWXMWIWDIQ,1,3,enveda-180
AAGXDKZJVYZKJO,AAGXDKZJVYZKJO,1,4,enveda-180
AAGYRUQWSQMMAM,AAGYRUQWSQMMAM,1,6,gnps
AAGZHZONWTXZOV,AAGZHZONWTXZOV,1,8,enveda-180
AAHCQDDDJBYJJR,AAHCQDDDJBYJJR,1,3,enveda-180
AAHCRORPOCONCL,AAHCRORPOCONCL,1,1,enveda-180
AAHCTQSONGCXBY,AAHCTQSONGCXBY,1,4,enveda-180
AAHKQFVTBYBKGL,AAHKQFVTBYBKGL,1,8,enveda-180
AAHKQUZKDAXKQQ,AAHKQUZKDAXKQQ,1,7,enveda-180
AAHKVQDRDASXKV,AAHKVQDRDASXKV,1,8,massbank
AAHNBILIYONQLX,AAHNBILIYONQLX,1,5,pluskal_ms2
AAHPVGJUKRUNQW,AAHPVGJUKRUNQW,1,8,enveda-180
AAHSTEUFCXJGIV,AAHSTEUFCXJGIV,4,24,pluskal_ms2;mona;riken;gnps
AAHUUXWKDZSHER,AAHUUXWKDZSHER,1,8,enveda-180
AAHXZNABHUUIPK,AAHXZNABHUUIPK,1,3,enveda-180
AAHYTWRSQZFZCM,AAHYTWRSQZFZCM,1,13,pluskal_ms2
AAIAVCHYYZRXFK,AAIAVCHYYZRXFK,1,7,enveda-180
AAICTHSGRPHVLL,AAICTHSGRPHVLL,1,8,enveda-180
AAIHLBNRYGCFEP,AAIHLBNRYGCFEP,2,11,pluskal_ms2;gnps
AAIIJIOWYALNCC,AAIIJIOWYALNCC,4,20,pluskal_ms2;mona;riken;gnps
AAIIULWEQWNLSR,AAIIULWEQWNLSR,1,2,gnps
AAIJYOSJBHAEQG,AAIJYOSJBHAEQG,1,4,enveda-180
AAIKPFLZMWMJBX,AAIKPFLZMWMJBX,1,3,enveda-180
AAILVFJAIVKJQG,AAILVFJAIVKJQG,1,8,pluskal_ms2
AAINVBUIUROTMX,AAINVBUIUROTMX,1,11,enveda-180
AAIOWGZUEXEZKN,AAIOWGZUEXEZKN,1,6,enveda-180
AAIPBQWLVCDDCD,AAIPBQWLVCDDCD,1,1,gnps
AAIPSAYOWGJQIZ,AAIPSAYOWGJQIZ,1,4,enveda-180
AAIPWBGTFNBARR,AAIPWBGTFNBARR,1,6,enveda-180
AAIREPRIYSAABE,AAIREPRIYSAABE,1,5,enveda-180
AAIRLZKRDXNCCE,AAIRLZKRDXNCCE,1,4,enveda-180
AAISGYKRINAJTB,AAISGYKRINAJTB,1,4,enveda-180
AAITZCURMKCJCE,AAITZCURMKCJCE,1,6,enveda-180
AAIYLZBROYXYPX,AAIYLZBROYXYPX,1,3,enveda-180
AAIYPMLPQBBPKR,AAIYPMLPQBBPKR,1,2,enveda-180
AAJANDWRABHMKV,AAJANDWRABHMKV,2,15,pluskal_ms2;gnps
AAJBOEOBFJRTFV,AAJBOEOBFJRTFV,1,3,enveda-180
AAJCAOZPYSHLNJ,AAJCAOZPYSHLNJ,1,12,pluskal_ms2
AAJDAQOLRAZSRS,JZDTWOOJPOKDJQ,1,2,gnps
AAJDRFVCBCLUGH,AAJDRFVCBCLUGH,2,16,pluskal_ms2;gnps
AAJGNRWZTKYDRG,AAJGNRWZTKYDRG,1,7,enveda-180
AAJHMZZEADRWRN,AAJHMZZEADRWRN,1,15,pluskal_ms2
AAJIHHYEPHRIET,AAJIHHYEPHRIET,1,21,riken
AAJIRHUITZKSOD,AAJIRHUITZKSOD,1,4,enveda-180
AAJKKRYJJBOOKF,AAJKKRYJJBOOKF,1,13,enveda-180
AAJLRBLLHFWWCR,AAJLRBLLHFWWCR,1,4,enveda-180
AAJMQTLFRTZCJK,AAJMQTLFRTZCJK,2,26,pluskal_ms2;gnps
AAJNUAVSSNDOGG,AAJNUAVSSNDOGG,1,8,enveda-180
AAJNUQCUXATYLI,AAJNUQCUXATYLI,2,11,pluskal_ms2;gnps
AAJOPMHTWQOBSN,AAJOPMHTWQOBSN,1,20,pluskal_ms2
AAJPTQJWEJNBGK,AAJPTQJWEJNBGK,1,3,enveda-180
AAJSQXKYVKMYBG,AAJSQXKYVKMYBG,1,10,enveda-180
AAJUKFYZPRTUNV,AAJUKFYZPRTUNV,1,3,enveda-180
AAJVCFUNDLOGDI,AAJVCFUNDLOGDI,1,5,enveda-180
AAJWYAKFHBESMT,AAJWYAKFHBESMT,1,5,enveda-180
AAJYIOVHVNVNMZ,AAJYIOVHVNVNMZ,1,7,enveda-180
AAJZDQXKJKUROX,AAJZDQXKJKUROX,1,8,enveda-180
AAKALCIGMQDAKV,AAKALCIGMQDAKV,1,4,enveda-180
AAKAOPPNJFOXSC,AAKAOPPNJFOXSC,1,1,gnps
AAKBCFNYQADTIH,AAKBCFNYQADTIH,4,4,gnps;massbank;msdial;riken
AAKDNKFCNPLTLX,AAKDNKFCNPLTLX,1,1,spectraverse
AAKFCLTVSNKYTB,AAKFCLTVSNKYTB,1,3,enveda-180
AAKFSKGDIRKILO,AAKFSKGDIRKILO,1,5,pluskal_ms2
AAKGQCRLAXUVQW,AAKGQCRLAXUVQW,1,2,enveda-180
AAKHGLJWUOZNTQ,AAKHGLJWUOZNTQ,4,33,riken;mona;msdial;gnps
AAKHKGPJPZLUOV,AAKHKGPJPZLUOV,1,18,spectraverse
AAKIJNHCYGSNGW,FBOYMSLOKCTBFV,1,13,pluskal_ms2
AAKJLRGGTJKAMG,AAKJLRGGTJKAMG,6,146,pluskal_ms2;massbank;gnps;drug_plus;mona;riken
AAKKFGCWNBDJNQ,AAKKFGCWNBDJNQ,1,4,enveda-180
AAKMXWNJZJABIX,AAKMXWNJZJABIX,1,11,enveda-180
AAKOIQXLGBQXRS,AAKOIQXLGBQXRS,1,5,enveda-180
AAKPDLXNSYUCJX,AAKPDLXNSYUCJX,1,3,enveda-180
AAKPNRVLVGZWKZ,AAKPNRVLVGZWKZ,1,23,pluskal_ms2
AAKRPNIMPXZCJY,AAKRPNIMPXZCJY,1,15,pluskal_ms2
AAKVOIQVHMBTRC,AAKVOIQVHMBTRC,1,15,enveda-180
AAKWZWFWCWSWAI,AAKWZWFWCWSWAI,1,4,enveda-180
AALADBUAVLQZNY,AALADBUAVLQZNY,1,4,enveda-180
AALAEUFGLJZZFA,AALAEUFGLJZZFA,1,8,enveda-180
AALAHUXOORKJHH,AALAHUXOORKJHH,1,2,gnps
AALCUAYIEXUYBI,AALCUAYIEXUYBI,1,6,enveda-180
AALDBAAEOXEATK,AALDBAAEOXEATK,1,7,enveda-180
AALDVLDFJARINU,AALDVLDFJARINU,1,8,enveda-180
AALITOVFPWFKLB,AALITOVFPWFKLB,1,3,enveda-180
AALKFUQELXWNKA,AALKFUQELXWNKA,1,1,gnps
AALLCALQGXXWNA,AALLCALQGXXWNA,4,128,riken;pluskal_ms2;msdial;mona
AALLEWUCWSEWPN,AALLEWUCWSEWPN,2,25,pluskal_ms2;gnps
AALLNSDDKGMNKD,AALLNSDDKGMNKD,1,2,enveda-180
AALMRSDYFCTHAY,AALMRSDYFCTHAY,1,4,enveda-180
AALMTQFJPTZTFB,AALMTQFJPTZTFB,1,4,enveda-180
AALSSIXXBDPENJ,OJHBQWRSUJOFQB,2,8,pluskal_ms2;gnps
AALYNJRWFPONGH,AALYNJRWFPONGH,1,3,enveda-180
AALZHAXOWVHIMZ,AALZHAXOWVHIMZ,1,4,enveda-180
AALZNDVRZMBLOR,AALZNDVRZMBLOR,1,2,spectraverse
AAMACCHUQVETPC,AAMACCHUQVETPC,1,4,enveda-180
AAMBVCCBNOIXNL,AAMBVCCBNOIXNL,1,6,pluskal_ms2
AAMCWDRVYVWCKW,AAMCWDRVYVWCKW,1,4,enveda-180
AAMGFSXZEJYTCF,AAMGFSXZEJYTCF,1,2,gnps
AAMMQJKXDWNQKG,AAMMQJKXDWNQKG,1,7,enveda-180
AAMNDZRMNJHJTL,AAMNDZRMNJHJTL,1,7,enveda-180
AAMOZBCBNKCAFK,AAMOZBCBNKCAFK,1,8,enveda-180
AAMQMPBGTNGADJ,AAMQMPBGTNGADJ,1,3,enveda-180
AAMRZVJDVFHDSC,AAMRZVJDVFHDSC,1,4,gnps
AAMUEEMCWSENMD,AAMUEEMCWSENMD,1,5,enveda-180
AAMUEEOLAWKUSK,AAMUEEOLAWKUSK,1,5,enveda-180
AAMWBCCOOVEHKO,AAMWBCCOOVEHKO,1,18,pluskal_ms2
AAMYHNUXYNLQJB,AAMYHNUXYNLQJB,1,4,enveda-180
AANAMECEISGBQS,AANAMECEISGBQS,1,4,enveda-180
AANDHUKUIHFMBS,AANDHUKUIHFMBS,1,4,enveda-180
AANFHDFOMFRLLR,AANFHDFOMFRLLR,1,1,drug_plus
AANFXBNASQBBGW,AANFXBNASQBBGW,1,7,enveda-180
AANHOLYKFWJSAG,AANHOLYKFWJSAG,1,5,enveda-180
AANIFFMTSPFIJD,AANIFFMTSPFIJD,1,10,enveda-180
AANJASUQBXFZDX,AANJASUQBXFZDX,1,6,enveda-180
AANJPUPFLYTODX,AANJPUPFLYTODX,1,6,enveda-180
AANLHOVYRNPCCG,AANLHOVYRNPCCG,2,36,pluskal_ms2;gnps
AANLQFHDKCSBTC,AANLQFHDKCSBTC,1,10,enveda-180
AANLWZYWGLAZBT,AANLWZYWGLAZBT,1,5,enveda-180
AANMTXJQDLBLKC,AANMTXJQDLBLKC,1,2,spectraverse
AANPIBOUXVJPRA,AANPIBOUXVJPRA,1,2,spectraverse
AANPOYANEMYSQW,AANPOYANEMYSQW,1,8,enveda-180
AANRRKQIDFDKBZ,AANRRKQIDFDKBZ,1,7,enveda-180
AANUXIJOHWMFKA,AANUXIJOHWMFKA,1,7,enveda-180
AANVMOBYCKFKTC,AANVMOBYCKFKTC,1,6,enveda-180
AANVSJBDHQYCLZ,AANVSJBDHQYCLZ,1,3,enveda-180
AANWLHMGGKNKMI,AANWLHMGGKNKMI,1,4,enveda-180
AANWMTRHVNEUGO,AANWMTRHVNEUGO,1,9,enveda-180
AANWZNBQOFPDSR,AANWZNBQOFPDSR,1,4,enveda-180
AANXGXVMBZXMJT,AANXGXVMBZXMJT,1,3,enveda-180
AANXIXOMYHIHGZ,AANXIXOMYHIHGZ,1,1,gnps
AANXWIGREAMYPY,AANXWIGREAMYPY,1,8,enveda-180
AANYSLWVGGAKAE,AANYSLWVGGAKAE,1,11,enveda-180
AAOADKHNFOGATJ,AAOADKHNFOGATJ,1,5,pluskal_ms2
AAOBBQSMBJCAOK,AAOBBQSMBJCAOK,1,7,enveda-180
AAODUKUNWHOUOT,AAODUKUNWHOUOT,1,2,enveda-180
AAOFJKLTRKOQTQ,AAOFJKLTRKOQTQ,4,14,riken;gnps;mona;msdial
AAOIECSLKOYJDM,AAOIECSLKOYJDM,1,11,enveda-180
AAOLIMLEFKWKOY,AAOLIMLEFKWKOY,1,10,pluskal_ms2
AAOLOBCRJIIAIS,AAOLOBCRJIIAIS,1,6,enveda-180
AAOMTOLCSIHZLA,AAOMTOLCSIHZLA,1,5,pluskal_ms2
AAOQQWDQWALLNL,AAOQQWDQWALLNL,1,5,pluskal_ms2
AAOQXSCWWVHHKZ,AAOQXSCWWVHHKZ,1,3,enveda-180
AAOTYKMXSKYUFU,AAOTYKMXSKYUFU,1,6,enveda-180
AAOVCEIQPDDKAC,AAOVCEIQPDDKAC,1,16,enveda-180
AAOVKJBEBIDNHE,AAOVKJBEBIDNHE,6,119,massbank;riken;mona;gnps;drug_plus;msdial
AAOYDZDBGXRJNF,AAOYDZDBGXRJNF,1,9,enveda-180
AAOYXIZXGVTIAX,AAOYXIZXGVTIAX,1,7,enveda-180
AAPDKZCLKUDFOM,AAPDKZCLKUDFOM,1,7,enveda-180
AAPHSDMFUZYGQE,AAPHSDMFUZYGQE,1,4,enveda-180
AAPNKAVXXSGPNJ,AAPNKAVXXSGPNJ,1,3,enveda-180
AAPOCPWDQZSQRR,AAPOCPWDQZSQRR,2,16,pluskal_ms2;gnps
AAPOINYWRRGOJT,AAPOINYWRRGOJT,1,7,enveda-180
AAPSWUCVMIVDJW,AAPSWUCVMIVDJW,1,7,enveda-180
AAPVQEMYVNZIOO,AAPVQEMYVNZIOO,3,14,massbank;riken;mona
AAPVVWIJQYJQDU,AAPVVWIJQYJQDU,1,15,pluskal_ms2
AAPWQJHPGPFLOA,AAPWQJHPGPFLOA,1,9,enveda-180
AAPXQFUBRVZCEY,AAPXQFUBRVZCEY,1,10,enveda-180
AAPYRWHAQKKLNX,AAPYRWHAQKKLNX,1,15,enveda-180
AAPZMQVULRVUEU,MFZDDJJLXLDONA,1,3,gnps
AAPZXDGLCMYGEG,AAPZXDGLCMYGEG,1,4,enveda-180
AAQAEAUIGUCZNW,AAQAEAUIGUCZNW,1,4,enveda-180
AAQAXIAUDCQNAT,AAQAXIAUDCQNAT,1,4,enveda-180
AAQBESYIHQZUAO,AAQBESYIHQZUAO,1,1,gnps
AAQCMZVIQHLXPK,AAQCMZVIQHLXPK,2,10,pluskal_ms2;gnps
AAQCRCVLIQUNMP,AAQCRCVLIQUNMP,1,9,enveda-180
AAQDHRMACHHREF,AAQDHRMACHHREF,1,8,enveda-180
AAQHFVUVRTWALN,AAQHFVUVRTWALN,1,8,enveda-180
AAQHSADQDQGIRB,AAQHSADQDQGIRB,1,1,gnps
AAQIJGZIAUMOPZ,AAQIJGZIAUMOPZ,1,11,enveda-180
AAQKQOVUCDYOIQ,AAQKQOVUCDYOIQ,1,8,enveda-180
AAQKZCGWOYTNNG,AAQKZCGWOYTNNG,1,12,enveda-180
AAQMEKVMBSHQSI,XSYFJARDFYYUAD,1,64,riken
AAQOQKQBGPPFNS,AAQOQKQBGPPFNS,2,2,gnps;massbank
AAQOYVVMZSCEJL,AAQOYVVMZSCEJL,1,7,enveda-180
AAQXRBCDRRNRHN,AAQXRBCDRRNRHN,1,4,enveda-180
AAQXROSVHFOJAL,AAQXROSVHFOJAL,1,6,enveda-180
AAQYBONXZPXIQR,AAQYBONXZPXIQR,1,1,gnps
AAQYFUGIVABTRE,AAQYFUGIVABTRE,1,4,enveda-180
AARAKCWCTHBEKD,AARAKCWCTHBEKD,1,12,enveda-180
AARCTFWKKGJFST,AARCTFWKKGJFST,1,4,enveda-180
AARDEYVMLOHKDY,AARDEYVMLOHKDY,1,3,enveda-180
AARGZOOWPKMZGW,AARGZOOWPKMZGW,1,4,enveda-180
AARHGXPZAYKIHK,AARHGXPZAYKIHK,1,4,enveda-180
AARHZYUDBKTTBD,AARHZYUDBKTTBD,1,3,enveda-180
AARIHENRSOEJOC,AARIHENRSOEJOC,2,11,pluskal_ms2;riken
AARKPNPGYLAZNA,AARKPNPGYLAZNA,1,5,enveda-180
AARQMQQVMJOHMT,AARQMQQVMJOHMT,1,8,enveda-180
AARQPLDRGZTPNR,AARQPLDRGZTPNR,1,4,enveda-180
AARQRUTVYRUZMP,AARQRUTVYRUZMP,1,6,enveda-180
