inchikey14,metric_ik14,n_other_libs,n_other_spectra,other_libs
PFTAWBLQPZVEMU,PFTAWBLQPZVEMU,7,1464,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
AIONOLUJZLIMTK,AIONOLUJZLIMTK,7,1301,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
TZBJGXHYKVUXJN,TZBJGXHYKVUXJN,7,1015,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
CWVRJTMFETXNAD,CWVRJTMFETXNAD,7,871,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
RTIXKCRFFJGDFG,RTIXKCRFFJGDFG,7,785,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
WCGUUGGRBIKTOS,WCGUUGGRBIKTOS,6,770,drug_plus;gnps;massbank;mona;msdial;riken
RKUNBYITZUJHSG,RKUNBYITZUJHSG,7,745,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
FTVWIRXFELQLPI,FTVWIRXFELQLPI,7,722,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
GZSOSUNBTXMUFQ,GZSOSUNBTXMUFQ,7,718,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
BHQCQFFYRZLCQQ,BHQCQFFYRZLCQQ,7,713,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
QAIPRVGONGVQAS,QAIPRVGONGVQAS,7,711,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
WMBWREPUVVBILR,WMBWREPUVVBILR,7,706,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
QIVBCDIJIAJPQS,QIVBCDIJIAJPQS,7,669,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
IKGXIBQEEMLURG,IKGXIBQEEMLURG,7,643,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
RYYVLZVUVIJVGH,RYYVLZVUVIJVGH,8,641,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
NODILNFGTFIURN,NODILNFGTFIURN,7,636,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
ZFXYFBGIUFBOJW,ZFXYFBGIUFBOJW,8,579,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
IKMDFBPHZNJCSN,IKMDFBPHZNJCSN,6,543,drug_plus;gnps;massbank;mona;msdial;riken
BLGXFZZNTVWLAY,BLGXFZZNTVWLAY,7,537,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
QEVHRUUCFGRFIF,QEVHRUUCFGRFIF,7,530,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
UIDGLYUNOUKLBM,UIDGLYUNOUKLBM,6,527,gnps;massbank;mona;msdial;pluskal_ms2;riken
MPDGHEJMBKOTSU,YLHIVIHHVKLKEI,7,526,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
XFZJEEAOWLFHDH,XFZJEEAOWLFHDH,6,492,gnps;massbank;mona;msdial;pluskal_ms2;riken
QXKHYNVANLEOEG,QXKHYNVANLEOEG,7,491,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
FBPFZTCFMRRESA,FBPFZTCFMRRESA,8,452,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
BXNJHAXVSOCGBA,BXNJHAXVSOCGBA,7,452,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
RNKMOGIPOMVCHO,RNKMOGIPOMVCHO,5,446,gnps;mona;msdial;pluskal_ms2;riken
CMKFQVZJOWHHDV,CMKFQVZJOWHHDV,6,441,gnps;massbank;mona;msdial;pluskal_ms2;riken
RUDATBOHQWOJDD,RUDATBOHQWOJDD,7,424,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
GZYPWOGIYAIIPV,GZYPWOGIYAIIPV,7,418,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
RFDAIACWWDREDC,RFDAIACWWDREDC,7,417,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
DOUMFZQKYFQNTF,DOUMFZQKYFQNTF,6,417,gnps;massbank;mona;msdial;pluskal_ms2;riken
ASUTZQLVASHGKV,ASUTZQLVASHGKV,7,414,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
ZRJBHWIHUMBLCN,ZRJBHWIHUMBLCN,7,403,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
VMXUWOKSQNHOCA,SYNOVMDJYWJCON,8,394,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
DVGGLGXQSFURLP,DVGGLGXQSFURLP,6,391,gnps;massbank;mona;msdial;pluskal_ms2;riken
IOUVKUPGCMBWBT,IOUVKUPGCMBWBT,6,388,gnps;massbank;mona;msdial;pluskal_ms2;riken
YGPSJZOEDVAXAB,YGPSJZOEDVAXAB,8,384,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
VNONINPVFQTJOC,VNONINPVFQTJOC,4,383,gnps;mona;pluskal_ms2;riken
RXPRRQLKFXBCSJ,RXPRRQLKFXBCSJ,7,377,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
ILEDWLMCKZNDJK,ILEDWLMCKZNDJK,6,377,gnps;massbank;mona;msdial;pluskal_ms2;riken
GMBQZIIUCVWOCD,GMBQZIIUCVWOCD,6,374,drug_plus;gnps;massbank;mona;msdial;riken
MGJLSBDCWOSMHL,MGJLSBDCWOSMHL,6,362,gnps;massbank;mona;msdial;pluskal_ms2;riken
JYGXADMDTFJGBT,JYGXADMDTFJGBT,8,360,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
XUCIJNAGGSZNQT,XUCIJNAGGSZNQT,6,349,gnps;massbank;mona;msdial;pluskal_ms2;riken
HPNSFSBZBAHARI,HPNSFSBZBAHARI,7,348,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
JXSVIVRDWWRQRT,JXSVIVRDWWRQRT,7,347,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
VGEREEWJJVICBM,VGEREEWJJVICBM,7,346,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
TZJALUIVHRYQQB,TZJALUIVHRYQQB,7,343,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
FVYXIJYOAGAUQK,FVYXIJYOAGAUQK,6,343,gnps;massbank;mona;msdial;pluskal_ms2;riken
ACWBQPMHZXGDFX,ACWBQPMHZXGDFX,8,342,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
LXNHXLLTXMVWPM,LXNHXLLTXMVWPM,7,340,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
XQYZDYMELSJDRZ,XQYZDYMELSJDRZ,7,339,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
RODXRVNMMDRFIK,RODXRVNMMDRFIK,5,336,gnps;massbank;mona;msdial;riken
UZKQTCBAMSWPJD,UZKQTCBAMSWPJD,7,333,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
CKLJMWTZIZZHCS,CKLJMWTZIZZHCS,8,331,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
URFCJEUYXNAHFI,URFCJEUYXNAHFI,6,327,gnps;massbank;mona;msdial;pluskal_ms2;riken
AUVVAXYIELKVAI,AUVVAXYIELKVAI,7,322,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
QANMHLXAZMSUEX,QANMHLXAZMSUEX,7,321,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
XHCADAYNFIFUHF,XHCADAYNFIFUHF,7,316,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
PCZOHLXUXFIOCF,PCZOHLXUXFIOCF,8,315,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
NGSWKAQJJWESNS,NGSWKAQJJWESNS,7,312,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
HSHNITRMYYLLCV,HSHNITRMYYLLCV,7,305,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
PLAPMLGJVGLZOV,PLAPMLGJVGLZOV,6,302,gnps;massbank;mona;msdial;pluskal_ms2;riken
NYHBQMYGNKIUIF,NYHBQMYGNKIUIF,7,301,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
WYJAPUKIYAZSEM,WYJAPUKIYAZSEM,7,301,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
WTDRDQBEARUVNC,WTDRDQBEARUVNC,8,296,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
YWJXCIXBAKGUKZ,YWJXCIXBAKGUKZ,6,294,gnps;massbank;mona;msdial;pluskal_ms2;riken
PSIFNNKUMBGKDQ,PSIFNNKUMBGKDQ,8,291,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
RCINICONZNJXQF,NDUAXKHGCJIYEQ,7,285,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
UEDUENGHJMELGK,UEDUENGHJMELGK,5,285,gnps;massbank;msdial;pluskal_ms2;riken
DXDRHHKMWQZJHT,DXDRHHKMWQZJHT,7,284,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
AMOGMTLMADGEOQ,AMOGMTLMADGEOQ,7,276,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
SQOJOAFXDQDRGF,SQOJOAFXDQDRGF,7,273,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
STECJAGHUSJQJN,STECJAGHUSJQJN,6,272,drug_plus;gnps;massbank;mona;msdial;riken
SGEWCQFRYRRZDC,SGEWCQFRYRRZDC,6,267,gnps;massbank;mona;msdial;pluskal_ms2;riken
ZKLPARSLTMPFCP,ZKLPARSLTMPFCP,8,266,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
ULGZDMOVFRHVEP,ULGZDMOVFRHVEP,8,261,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
QGXBDMJGAMFCBF,QGXBDMJGAMFCBF,6,257,drug_plus;gnps;massbank;mona;msdial;riken
JUVIOZPCNVVQFO,JUVIOZPCNVVQFO,7,256,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
IKIIZLYTISPENI,IKIIZLYTISPENI,6,255,gnps;massbank;mona;msdial;pluskal_ms2;riken
IVOMOUWHDPKRLL,IVOMOUWHDPKRLL,8,254,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
YKPUWZUDDOIDPM,YKPUWZUDDOIDPM,7,239,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
FXNFHKRTJBSTCS,FXNFHKRTJBSTCS,7,237,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
RHMXXJGYXNZAPX,RHMXXJGYXNZAPX,7,236,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
CRSFLLTWRCYNNX,CRSFLLTWRCYNNX,6,236,gnps;massbank;mona;msdial;pluskal_ms2;riken
KYWSCMDFVARMPN,KYWSCMDFVARMPN,6,234,gnps;massbank;mona;msdial;pluskal_ms2;riken
MATGKVZWFZHCLI,MATGKVZWFZHCLI,7,227,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
RMMXLENWKUUMAY,RMMXLENWKUUMAY,8,226,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
HYFHYPWGAURHIV,HYFHYPWGAURHIV,7,223,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
AAWZDTNXLSGCEK,AAWZDTNXLSGCEK,7,223,gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
VHRSUDSXCMQTMA,ZABDAGALHQDSEU,7,219,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
FFGPTBGBLSHEPO,FFGPTBGBLSHEPO,8,217,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
PNVNVHUZROJLTJ,PNVNVHUZROJLTJ,8,217,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
SQFSKOYWJBQGKQ,SQFSKOYWJBQGKQ,6,214,gnps;massbank;mona;msdial;pluskal_ms2;riken
OIGNJSKKLXVSLS,OIGNJSKKLXVSLS,8,208,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
MXYUKLILVYORSK,MXYUKLILVYORSK,6,207,drug_plus;gnps;mona;msdial;pluskal_ms2;riken
UIKROCXWUNQSPJ,UIKROCXWUNQSPJ,8,206,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
CGIGDMFJXJATDK,CGIGDMFJXJATDK,8,202,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
LPMXVESGRSUGHW,LPMXVESGRSUGHW,7,202,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
SUBDBMMJDZJVOS,SUBDBMMJDZJVOS,8,199,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
IEDVJHCEMCRBQM,IEDVJHCEMCRBQM,8,198,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
LSQZJLSUYDQPKJ,LSQZJLSUYDQPKJ,8,197,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
JYXSWDCPHRTYGU,JYXSWDCPHRTYGU,6,195,gnps;massbank;mona;msdial;pluskal_ms2;riken
IECPWNUMDGFDKC,IECPWNUMDGFDKC,7,195,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
HEYZWPRKKUGDCR,HEYZWPRKKUGDCR,6,192,gnps;massbank;mona;msdial;pluskal_ms2;riken
VRSRXLJTYQVOHC,VRSRXLJTYQVOHC,6,191,gnps;massbank;mona;msdial;pluskal_ms2;riken
FJKROLUGYXJWQN,FJKROLUGYXJWQN,7,190,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
QCHFTSOMWOSFHM,QCHFTSOMWOSFHM,6,186,drug_plus;gnps;massbank;mona;msdial;riken
HSMPDPBYAYSOBC,HSMPDPBYAYSOBC,6,186,gnps;massbank;mona;msdial;pluskal_ms2;riken
CZMRCDWAGMRECN,CZMRCDWAGMRECN,8,184,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
DUXQKCCELUKXOE,DUXQKCCELUKXOE,6,183,gnps;massbank;mona;msdial;pluskal_ms2;riken
BBMULGJBVDDDNI,BBMULGJBVDDDNI,6,181,drug_plus;gnps;mona;msdial;pluskal_ms2;riken
BJRNKVDFDLYUGJ,BJRNKVDFDLYUGJ,7,181,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
IFIQVSCCFRXSJV,IFIQVSCCFRXSJV,5,181,gnps;mona;msdial;pluskal_ms2;riken
GFNANZIMVAIWHM,GFNANZIMVAIWHM,8,181,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
DATAGRPVKZEWHA,DATAGRPVKZEWHA,8,179,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
XOJVHLIYNSOZOO,XOJVHLIYNSOZOO,6,179,gnps;massbank;mona;msdial;pluskal_ms2;riken
WJXSWCUQABXPFS,WJXSWCUQABXPFS,8,177,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
XUFQPHANEAPEMJ,XUFQPHANEAPEMJ,8,176,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
AGOYDEPGAOXOCK,AGOYDEPGAOXOCK,8,176,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
LOIYMIARKYCTBW,LOIYMIARKYCTBW,8,175,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
ANJTVLIZGCUXLD,ANJTVLIZGCUXLD,7,174,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
PRAUVHZJPXOEIF,PRAUVHZJPXOEIF,7,172,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
ATBZZQPALSPNMF,ATBZZQPALSPNMF,2,169,msdial;riken
IYGYMKDQCDOMRE,IYGYMKDQCDOMRE,6,168,drug_plus;gnps;massbank;mona;pluskal_ms2;riken
KWBPKUMWVXUSCA,KWBPKUMWVXUSCA,3,167,gnps;pluskal_ms2;riken
XJQPQKLURWNAAH,XJQPQKLURWNAAH,6,165,gnps;massbank;mona;msdial;pluskal_ms2;riken
BMLIIPOXVWESJG,BMLIIPOXVWESJG,5,162,gnps;massbank;msdial;pluskal_ms2;riken
KPYSYYIEGFHWSV,KPYSYYIEGFHWSV,8,161,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
